,Category,Category FR,Cluster,Cluster FR,Count,Link,Original,Product,Source,Weight,Total
17,Wall Decor,Wall Decor,taekwondo belt display modular design male female figure option martial art belt hanger,taekwondo belt display modular design male female figure option martial art belt hanger,0.0022935779816513763,https://i.etsystatic.com/10978471/c/2083/1654/166/8/il/442302/1851558808/il_340x270.1851558808_m0lb.jpg,Taekwondo Belt Display Modular Design Male Female Figure Option Martial Art Belt Hanger,taekwondo belt display modular design male female figure option martial art belt hanger,etsy,1,436.0
18,Wall Decor,Wall Decor,school year picture frame personalized hold thirteen 2 5 x 3 5 school year photo 5 x 7 graduation picture 12x20 black frame,school year picture frame personalized hold thirteen 2 5 x 3 5 school year photo 5 x 7 graduation picture 12x20 black frame,0.0022935779816513763,https://i.etsystatic.com/7453378/d/il/e8118c/1906358864/il_340x270.1906358864_ee4s.jpg?version=0,School Year Picture Frame Personalized Hold Thirteen 2 5 X 3 5 School Year Photo 5 X 7 Graduation Picture 12X20 Black Frame,school year picture frame personalized hold thirteen 2 5 x 3 5 school year photo 5 x 7 graduation picture 12x20 black frame,etsy,1,436.0
19,Wall Decor,Wall Decor,binford banner 4 x 1 5,binford banner 4 x 1 5,0.0022935779816513763,https://i.etsystatic.com/20298672/d/il/142b8f/1937527629/il_340x270.1937527629_bxgc.jpg?version=0,Binford Banner 4 X 1 5,binford banner 4 x 1 5,etsy,1,436.0
21,Umbrella,Umbrella,umbrella windproof travel open,umbrella windproof travel open,0.8660287081339713,https://s.alicdn.com/@sc01/kf/H6aac96fe0a3846db8085ea92391027a7x.jpg_300x300.jpg,Umbrella Windproof Travel Open,umbrella windproof travel open,alibaba,1,209.0
22,Umbrella,Umbrella,none,none,0.05741626794258373,https://s.alicdn.com/@sc01/kf/H2903d83abcd84e3fb90a68a831c87037w.jpg_300x300.jpg,None,none,alibaba,1,209.0
23,Umbrella,Umbrella,birdy rain shirt girl,birdy rain shirt girl,0.014354066985645933,https://s.alicdn.com/@sc01/kf/HTB1Z06ccRGw3KVjSZFD760WEpXa2.png_300x300.png,Birdy Rain Shirt Girl,birdy rain shirt girl,alibaba,1,209.0
24,Umbrella,Umbrella,umbrella cherbourg english subtitled,umbrella cherbourg english subtitled,0.009569377990430622,https://www.hema.com/dw/image/v2/BBRK_PRD/on/demandware.static/-/Sites-HEMA-master-catalog/default/dwa34c55b7/product/16880039_01_001_04.jpg?sw=245&sh=279&sm=fit,Umbrella Cherbourg English Subtitled,umbrella cherbourg english subtitled,hema,1,209.0
25,Umbrella,Umbrella,gift color pee 8,gift color pee 8,0.009569377990430622,https://i.etsystatic.com/15604994/d/il/0cff8b/2241100253/il_340x270.2241100253_q5p0.jpg?version=1,Gift Color Pee 8,gift color pee 8,etsy,1,209.0
26,Umbrella,Umbrella,summer accessory parasol wedding,summer accessory parasol wedding,0.009569377990430622,https://i.etsystatic.com/9719244/d/il/210447/1768965792/il_340x270.1768965792_43fp.jpg?version=0,Summer Accessory Parasol Wedding,summer accessory parasol wedding,etsy,1,209.0
27,Umbrella,Umbrella,cosmopolitan sun parasol white white,cosmopolitan sun parasol white white,0.004784688995215311,https://i.etsystatic.com/10031936/d/il/a812fb/1554255613/il_340x270.1554255613_p3sk.jpg?version=0,Cosmopolitan Sun Parasol White White,cosmopolitan sun parasol white white,etsy,1,209.0
28,Umbrella,Umbrella,aka sorority gift alpha kappa alpha personalized rain umbrella aka favor aka gift zeta delta sigma theta sorority paraphernalia,aka sorority gift alpha kappa alpha personalized rain umbrella aka favor aka gift zeta delta sigma theta sorority paraphernalia,0.004784688995215311,https://i.etsystatic.com/9823975/d/il/81de5b/2088589490/il_340x270.2088589490_3oew.jpg?version=0,Aka Sorority Gift Alpha Kappa Alpha Personalized Rain Umbrella Aka Favor Aka Gift Zeta Delta Sigma Theta Sorority Paraphernalia,aka sorority gift alpha kappa alpha personalized rain umbrella aka favor aka gift zeta delta sigma theta sorority paraphernalia,etsy,1,209.0
29,Umbrella,Umbrella,asymmetric earring mary poppin,asymmetric earring mary poppin,0.004784688995215311,https://i.etsystatic.com/7522801/d/il/a44d32/1557117808/il_340x270.1557117808_476g.jpg?version=0,Asymmetric Earring Mary Poppin,asymmetric earring mary poppin,etsy,1,209.0
30,Umbrella,Umbrella,wedding umbrella clear transparent lace print heart rose wedding white,wedding umbrella clear transparent lace print heart rose wedding white,0.004784688995215311,https://i.etsystatic.com/16909695/c/1815/1442/0/38/il/50444a/2265566907/il_340x270.2265566907_nimw.jpg,Wedding Umbrella Clear Transparent Lace Print Heart Rose Wedding White,wedding umbrella clear transparent lace print heart rose wedding white,etsy,1,209.0
31,Umbrella,Umbrella,met mother print himym quote right place right time,met mother print himym quote right place right time,0.004784688995215311,https://i.etsystatic.com/19517863/c/1457/1158/529/199/il/ec3739/2157500611/il_340x270.2157500611_hr3z.jpg,Met Mother Print Himym Quote Right Place Right Time,met mother print himym quote right place right time,etsy,1,209.0
